Address,City,State,Postal Code,Charging Station Location,Number Of Charge Stand
"300 1st Ave W, Seattle, WA 98119",Seattle,WA,98119,"47.62134784019229, -122.35764504585606",2
"305 W Thomas St, Seattle, WA 98109",Seattle,WA,98109,"47.62128998794282, -122.35365391891948",24
"500 Mercer St, Seattle, WA 98109",Seattle,WA,98109,"47.62317015328109, -122.34678746397483",16
"400 Dexter Ave N, Seattle, WA 98109",Seattle,WA,98109,"47.62262472550293, -122.3417900129855",4
"440 Terry Ave N, Seattle, WA 98109",Seattle,WA,98109,"47.623087529889936, -122.33642559505999",4
"345 Boren Ave N, Seattle, WA 98109",Seattle,WA,98109,"47.62190158544577, -122.33646851040338",6
"207 Boren Ave, Seattle, WA 98109",Seattle,WA,98109,"47.62045527532238, -122.33629684902976",5
"15347 Suquamish Way NE, Suquamish, WA 98392",Suquamish,WA,98392,"47.707708062845555, -122.5837489654871",2
"209 12th Ave S, Seattle, WA 98144",Seattle,WA,98144,"47.60131665384378, -122.31735553835199",3
"1321 E John St, Seattle, WA 98102",Seattle,WA,98102,"47.6213812352949, -122.31443396017603",2
"1600 E Madison St, Seattle, WA 98122",Seattle,WA,98122,"47.61540398107559, -122.31097348375405",4
"1300 E Madison St, Seattle, WA 98122",Seattle,WA,98122,"47.613887002024406, -122.31486737125778",8
"1222 E Madison St E, Seattle, WA 98122",Seattle,WA,98122,"47.61356876846023, -122.31583296649009",2
"1111 E Union St, Seattle, WA 98122",Seattle,WA,98122,"47.61294676089983, -122.31797873365186",1
"1427 11th Ave, Seattle, WA 98122",Seattle,WA,98122,"47.61364109443811, -122.31836497174477",4
"2111 E Olive St, Seattle, WA 98122",Seattle,WA,98122,"47.61697981517561, -122.3040372130681",2
"1002 Airport Wy S, Seattle, WA 98134",Seattle,WA,98134,"47.594265990959045, -122.32486724821717",3
"601-699 S Plummer St, Seattle, WA 98134",Seattle,WA,98134,"47.59397657909066, -122.32383728001847",1
"1518 1st Ave S, Seattle, WA 98134",Seattle,WA,98134,"47.59009830788639, -122.33284950237271",4
