Address,City,State,Postal Code,Charging Station Location,Number Of Charge Stand
"front entrance to REI, 625 Black Lake Blvd SW, Olympia, WA 98502",Olympia,WA,98502,"47.04189950783294, -122.93411623831645",2
"2370 Carriage Loop SW, Olympia, WA 98502",Olympia,WA,98502,"47.03255818830112, -122.92891184243668",2
"2404 Heritage Ct SW, Olympia, WA 98502",Olympia,WA,98502,"47.027609077214315, -122.92099585886412",2
"103 Sid Snyder Ave SW, Olympia, WA 98501",Olympia,WA,98501,"47.03542325338795, -122.90123319642774",4
"208 11th Ave SE, Olympia, WA 98501",Olympia,WA,98501,"47.03825095900337, -122.89899488383135",2
"505 14th Ave SE, Olympia, WA 98501",Olympia,WA,98501,"47.03590695049853, -122.8948458165795",8
"500 Cleveland Ave SE, Tumwater, WA 98501",Tumwater,WA,98501,"47.01904938103229, -122.89795761701838",2
"3939 Cleveland Ave SE, Olympia, WA 98501",Olympia,WA,98501,"47.010893725311654, -122.89612738822699",2
"County Courthouse [nb], Olympia, WA 98502",Olympia,WA,98502,"47.02902732697738, -122.91298589204521",4
"1520 Irving St SW, Tumwater, WA 98512",Tumwater,WA,98512,"47.02308380346483, -122.92135969799996",2
"6131 Capitol Blvd SE, Tumwater, WA 98501",Tumwater,WA,98501,"46.993359755077954, -122.90801600171933",4
"555 Israel Rd SW, Tumwater, WA 98501",Tumwater,WA,98501,"46.984879958946124, -122.91164177336985",3
"2430 93rd Ave SW, Tumwater, WA 98512",Tumwater,WA,98512,"46.95296620302697, -122.93572091608527",8
"4700 Yelm Hwy SE, Lacey, WA 98503",Lacey,WA,98503,"46.9976938629649, -122.82208111153307",1
"719 Sleater Kinney Rd SE, Lacey, WA 98503",Lacey,WA,98503,"47.04249591103362, -122.83866450390408",2
"501 Lilly Rd SE, Olympia, WA 98501",Olympia,WA,98501,"47.044554293043525, -122.845117655594",4
"4280 Martin Way E, Olympia, WA 98516",Olympia,WA,98516,"47.049512796298195, -122.82912207746901",2
"225 College St NE, Lacey, WA 98516",Lacey,WA,98516,"47.05010616247713, -122.82341692299374",2
"5333 15th Ave NE, Lacey, WA 98516",Lacey,WA,98516,"47.055929049231814, -122.81184898487068",2
"8333 Martin Way E, Lacey, WA 98516",Lacey,WA,98516,"47.05663102821667, -122.76266974610688",1
"1109 E Yelm Ave, Yelm, WA 98597",Yelm,WA,98597,"46.93541691073256, -122.59505800222523",2
"3625 148th St SW, Lynnwood, WA 98087",Lynnwood,WA,98087,"47.86546957006287, -122.28342427157384",12
"2902 164th St SW, Lynnwood, WA 98087",Lynnwood,WA,98087,"47.84663990127359, -122.271551765483",10
"17025 Hwy 99, Lynnwood, WA 98037",Lynnwood,WA,98037,"47.84446680715475, -122.29464918642334",4
"17909 Hwy 99, Lynnwood, WA 98037",Lynnwood,WA,98037,"47.83628024896288, -122.30065484137347",1
"5711 188th St SW, Lynnwood, WA 98037",Lynnwood,WA,98037,"47.82862842780539, -122.31085921027163",1
"Alderwood - JCPenney Parking, 3000 184th St SW, Lynnwood, WA 98037",Lynnwood,WA,98037,"47.830456153423704, -122.27499876221441",2
"3000 184th St SW, Lynnwood, WA 98037",Lynnwood,WA,98037,"47.829610942276005, -122.27391341235966",2
"Parking lot, Lynnwood, WA 98037",Lynnwood,WA,98037,"47.83112648351169, -122.2700495668768",1
"18305 Alderwood Mall Pkwy, Lynnwood, WA 98037",Lynnwood,WA,98037,"47.831971669977136, -122.26731448524285",6
"18405 Alderwood Mall Pkwy, Lynnwood, WA 98037",Lynnwood,WA,98037,"47.83124306177358, -122.2667066893242",2
"3711 196th St SW, Lynnwood, WA 98036",Lynnwood,WA,98036,"47.82255726426067, -122.28420252898259",4
"3000 196th St SW, Lynnwood, WA 98036",Lynnwood,WA,98036,"47.820545915984, -122.27365292839451",2
"2808 196th St SW, Lynnwood, WA 98036",Lynnwood,WA,98036,"47.82028356046358, -122.27148222868504",4
"3801 Alderwood Mall Blvd, Lynnwood, WA 98036",Lynnwood,WA,98036,"47.819293616826954, -122.28444282428956",4
"4400 Alderwood Mall Blvd, Lynnwood, WA 98036",Lynnwood,WA,98036,"47.81681570205149, -122.2901300575284",15
"20311 52nd Ave W, Lynnwood, WA 98036",Lynnwood,WA,98036,"47.81413359043538, -122.30172159397699",6
"20800 44th Ave W, Lynnwood, WA 98036",Lynnwood,WA,98036,"47.810225970537104, -122.29434652796722",8
"20816 44th Ave W, Lynnwood, WA 98036",Lynnwood,WA,98036,"47.8105906604765, -122.29545728978329",2
"21900 Hwy 99, Edmonds, WA 98026",Edmonds,WA,98026,"47.80025604632648, -122.3320081113885",6
"19020 80th Ave W, Edmonds, WA 98026",Edmonds,WA,98026,"47.82670887117712, -122.34282732172358",1
"205 5th Ave N, Edmonds, WA 98020",Edmonds,WA,98020,"47.81247135431237, -122.37571882224965",2
"121 5th Ave N, Edmonds, WA 98020",Edmonds,WA,98020,"47.81127981158679, -122.37705635050848",2
"7110 210th St SW, Edmonds, WA 98026",Edmonds,WA,98026,"47.80896734362076, -122.32936012595654",2
"201st Pl SE #1926, Bothell, WA 98012",Bothell,WA,98012,"47.814158008059046, -122.20611984986537",12
"21045 Bothell Everett Hwy, Bothell, WA 98021",Bothell,WA,98021,"47.8083361906117, -122.2068064953439",7
"20812 Bothell Everett Hwy, Bothell, WA 98201",Bothell,WA,98201,"47.80816325536022, -122.20809395561616",1
"15205 41st Ave SE, Bothell, WA 98012",Bothell,WA,98012,"47.85922436596216, -122.1767188712137",4
"16423 Larch Way, Lynnwood, WA 98037",Lynnwood,WA,98037,"47.84874532947129, -122.24642311020345",1
"11400 Hwy 99, Everett, WA 98204",Everett,WA,98204,"47.89345911773124, -122.25605080327949",7
"10500 Evergreen Wy, Everett, WA 98204",Everett,WA,98204,"47.90278145085808, -122.24695275068885",4
"SE Everett Mall Way #405, Everett, WA 98208",Everett,WA,98208,"47.90957073567141, -122.2258384022238",12
"1605 SE Everett Mall Way, Everett, WA 98208",Everett,WA,98208,"47.913482800419764, -122.21296379950118",18
"7301 Evergreen Wy, Everett, WA 98203",Everett,WA,98203,"47.931585379854646, -122.21998545271461",3
"16605 Ash Way, Lynnwood, WA 98037",Lynnwood,WA,98037,"47.84756175102305, -122.26149886353983",2
"19245 10th Ave NE, Poulsbo, WA 98370",Poulsbo,WA,98370,"47.7381553760616, -122.63668832003651",2
"3438 Stoluckquamish Ln, Arlington, WA 98223",Arlington,WA,98223,"48.21242475042708, -122.18371221996921",16
"20500 Olympic Pl, Arlington, WA 98223",Arlington,WA,98223,"48.18221497183381, -122.12774299516805",2
"20227 77th Ave NE, Arlington, WA 98223",Arlington,WA,98223,"48.17959884961609, -122.12627190664418",8
"3532 172nd St NE, Arlington, WA 98223",Arlington,WA,98223,"48.15170432653613, -122.18156215669622",2
"16115 Smokey Point Blvd, Marysville, WA 98271",Marysville,WA,98271,"48.14272283654647, -122.18384185613091",6
"3713 116th St NE, Marysville, WA 98271",Marysville,WA,98271,"48.10171867716343, -122.18244789433997",1
"4070 116th St NE, Marysville, WA 98271",Marysville,WA,98271,"48.099412129073016, -122.17726716440943",2
"11430 38th Dr NE, Marysville, WA 98271",Marysville,WA,98271,"48.09880656076054, -122.17925156187148",2
"3104 116th St NE, Tulalip, WA 98271",Tulalip,WA,98271,"48.09955605624944, -122.18840231889419",8
"10600 Quil Ceda Blvd, Tulalip, WA 98271",Tulalip,WA,98271,"48.0956354974017, -122.18684841675824",12
"Quil Ceda Blvd #10600, Tulalip, WA 98271",Tulalip,WA,98271,"48.095520182321465, -122.18848864679063",12
"1404 5th St, Marysville, WA 98270",Marysville,WA,98270,"48.05330365559967, -122.17867238188619",4
"26031 72nd Ave NW, Stanwood, WA 98292",Stanwood,WA,98292,"48.23285115852697, -122.32787005528964",4
"26930 104th Dr NW, Stanwood, WA 98292",Stanwood,WA,98292,"48.24194522329248, -122.37497571326918",6
"13000 Lake City Way NE, Seattle, WA 98125",Seattle,WA,98125,"47.723238212117565, -122.29209065762255",8
"11536 Lake City Way NE, Seattle, WA 98125",Seattle,WA,98125,"47.71353709415908, -122.29827046692941",2
"13025 Aurora Ave N, Seattle, WA 98133",Seattle,WA,98133,"47.724392986794975, -122.34582066631823",2
"11100 Roosevelt Way NE, Seattle, WA 98125",Seattle,WA,98125,"47.708801368680795, -122.31595158800178",4
"Parking lot, 401 NE Northgate Way, Seattle, WA 98125",Seattle,WA,98125,"47.70833932364256, -122.3250496405924",7
"401 NE Northgate Way, Seattle, WA 98125",Seattle,WA,98125,"47.70695316395141, -122.32762456113694",12
"4011 NE Northgate Way, Seattle, WA 98125",Seattle,WA,98125,"47.703141034715436, -122.3253929633317",3
"10006 Aurora Ave N, Seattle, WA 98133",Seattle,WA,98133,"47.70163921028792, -122.34255910029515",2
"9999 Holman Rd NW, Seattle, WA 98117",Seattle,WA,98117,"47.70175473677997, -122.36315846465132",8
"7340 35th Ave NE, Seattle, WA 98115",Seattle,WA,98115,"47.68250770096901, -122.2897654916295",1
"7300 Roosevelt Way NE, Seattle, WA 98115",Seattle,WA,98115,"47.6815831406988, -122.31723131077104",1
"601 N 59th St, Seattle, WA 98103",Seattle,WA,98103,"47.67060966829222, -122.35373038756474",5
"4540 8th Ave NE, Seattle, WA 98105",Seattle,WA,98105,"47.66284747303959, -122.31886440827094",2
"2520 NE University Village St, Seattle, WA 98105",Seattle,WA,98105,"47.664217322868126, -122.30030436021174",10
"2746 NE 45th St, Seattle, WA 98105",Seattle,WA,98105,"47.66164882495201, -122.29649065170643",8
"12540 120th Ave NE, Kirkland, WA 98034",Kirkland,WA,98034,"47.712404890688866, -122.17969825686781",2
"12632 Totem Lake Blvd NE, Kirkland, WA 98034",Kirkland,WA,98034,"47.713492983143574, -122.18188141055228",2
"120th Ave NE #12221, Kirkland, WA 98034",Kirkland,WA,98034,"47.709140477007324, -122.18357941897352",12
"11224 NE 124th St, Kirkland, WA 98034",Kirkland,WA,98034,"47.711588806438144, -122.19093745546562",7
"12519 NE 85th St, Kirkland, WA 98033",Kirkland,WA,98033,"47.67866275531066, -122.17387651370925",1
"11010 NE 124th Ln, Kirkland, WA 98034",Kirkland,WA,98034,"47.711671368229666, -122.19356246044666",1
"11607 98th Ave NE, Kirkland, WA 98034",Kirkland,WA,98034,"47.704821730453276, -122.21114602915695",1
"12039 NE 128th St, Kirkland, WA 98034",Kirkland,WA,98034,"47.71446357206189, -122.17936790859835",2
"12040 NE 128th St, Kirkland, WA 98034",Kirkland,WA,98034,"47.71470309412699, -122.17662948566908",2
"11300-11398 128th Ave NE, Kirkland, WA 98034",Kirkland,WA,98034,"47.716084930696425, -122.1794500612862",4
"12277 134th Ct NE, Redmond, WA 98052",Redmond,WA,98052,"47.709672899550846, -122.16249922335412",2
"12034 134th Ct NE, Redmond, WA 98052",Redmond,WA,98052,"47.70891856140962, -122.16020099042518",4
"11601 Willows Rd NE, Redmond, WA 98052",Redmond,WA,98052,"47.704881775330534, -122.15423271823788",2
"11431 Willows Rd NE, Redmond, WA 98052",Redmond,WA,98052,"47.70381073879279, -122.15429393128595",2
"11605 132nd Ave NE, Kirkland, WA 98034",Kirkland,WA,98034,"47.70547907461036, -122.16785262143452",2
"9926 NE 126th St, Kirkland, WA 98034",Kirkland,WA,98034,"47.71347674863465, -122.20900173255721",1
"101st Pl NE, Kirkland, WA 98034",Kirkland,WA,98034,"47.72519699175891, -122.20569328169088",1
"9931 Willows Rd NE, Redmond, WA 98052",Redmond,WA,98052,"47.68892666321403, -122.15046679250852",6
"NE 76th St, Redmond, WA 98052",Redmond,WA,98052,"47.671821750496264, -122.10446154457468",7
"7525 166th Ave NE, Redmond, WA 98052",Redmond,WA,98052,"47.67141717454494, -122.11973940676168",4
"TOWN CENTER EAST, BUILDING 3, 243 Israel Rd SE TC3, Tumwater, WA 98501",Tumwater,WA,98501,"46.98450925020197, -122.9052006845223",1
"7345 Linderson Way SW, Tumwater, WA 98501",Tumwater,WA,98501,"46.98104774802557, -122.92020491204595",1
"901 S 72nd Ave, Yakima, WA 98908",Yakima,WA,98908,"46.58883275712675, -120.6024947292601",2
"819 S 72nd Ave, Yakima, WA 98908",Yakima,WA,98908,"46.589167380190084, -120.60294918588436",2
"1017 S 18th Ave, Yakima, WA 98902",Yakima,WA,98902,"46.58499088414681, -120.53235989782814",2
"301 N 1st St, Yakima, WA 98901",Yakima,WA,98901,"46.60616398806241, -120.5077264908188",2
"17 N 3rd St, Yakima, WA 98901",Yakima,WA,98901,"46.60380191649833, -120.50336370683749",2
"102 N Naches Ave, Yakima, WA 98901",Yakima,WA,98901,"46.605093700812134, -120.50158510013438",2
"17 N 3rd St Ste 101, Yakima, WA 98901",Yakima,WA,98901,"46.60348769403468, -120.50128019612809",2
"802 E Yakima Ave, Yakima, WA 98901",Yakima,WA,98901,"46.6040463104878, -120.49431822131868",4
"121 N Fair Ave, Yakima, WA 98901",Yakima,WA,98901,"46.609701977666056, -120.49192980660303",8
"1001 E Yakima Ave, Yakima, WA 98901",Yakima,WA,98901,"46.60558247603335, -120.488270958528",2
"1603 E Yakima Ave, Yakima, WA 98901",Yakima,WA,98901,"46.605861774179786, -120.48298595575295",8
"1600 E Yakima Ave, Yakima, WA 98901",Yakima,WA,98901,"46.60450018211463, -120.48166470505917",3
"1600 E Chestnut Ave, Yakima, WA 98901",Yakima,WA,98901,"46.60252755854784, -120.47922547300917",8
"512 S 1st St, Selah, WA 98942",Selah,WA,98942,"46.64491397499701, -120.5315553962107",2
"1200 Lum Rd, Centralia, WA 98531",Centralia,WA,98531,"46.729985067835294, -122.9773234309035",20
"817 Harrison Ave, Centralia, WA 98531",Centralia,WA,98531,"46.7256901928424, -122.97431935687797",1
"12 Airport Rd, Centralia, WA 98531",Centralia,WA,98531,"46.71144994214673, -122.9765509547255",4
"914 S Scheuber Rd, Centralia, WA 98531",Centralia,WA,98531,"46.710272893790396, -122.98710812915809",1
"1820 NW Louisiana Ave, Chehalis, WA 98532",Chehalis,WA,98532,"46.68189826408587, -122.97286023524094",1
"700 NW Arkansas Way, Chehalis, WA 98532",Chehalis,WA,98532,"46.67972298724793, -122.97693708271423",8
"1701 NW Louisiana Ave, Chehalis, WA 98532",Chehalis,WA,98532,"46.67988285303931, -122.97721121810875",8
"1610 Anthology Ave NW, Issaquah, WA 98027",Issaquah,WA,98027,"47.55114024270036, -122.07237890711468",19
"Parking lot, 1800 NW Gilman Blvd, Issaquah, WA 98027",Issaquah,WA,98027,"47.546132460618935, -122.06521366296774",2
"755 NW Gilman Blvd, Issaquah, WA 98027",Issaquah,WA,98027,"47.542119029624146, -122.0520519733645",7
"100 Timber Ridge Way NW, Issaquah, WA 98027",Issaquah,WA,98027,"47.53151797805167, -122.06582347098023",1
"6100 E Lake Sammamish Pkwy SE, Issaquah, WA 98029",Issaquah,WA,98029,"47.54815621098706, -122.03990663044878",8
"1460 NE Hawthorne Square, Issaquah, WA 98029",Issaquah,WA,98029,"47.54511963191095, -122.00892207448915",2
"5150 220th Ave SE, Issaquah, WA 98029",Issaquah,WA,98029,"47.55491198911233, -122.04779733502158",4
"1484 Hyla Ave NW, Issaquah, WA 98027",Issaquah,WA,98027,"47.54722917343685, -122.0657358542896",2
"2005 NW Poplar Way, Issaquah, WA 98027",Issaquah,WA,98027,"47.55052194664065, -122.06868325971467",5
"1755 Highlands Dr NE, Issaquah, WA 98027",Issaquah,WA,98027,"47.545822821856845, -122.01872982002362",12
"1451 Highlands Dr NE, Issaquah, WA 98029",Issaquah,WA,98029,"47.543901890424195, -122.0173069346611",3
"1044 NE Ingram St, Issaquah, WA 98029",Issaquah,WA,98029,"47.545754218374945, -122.01570618862829",2
"485 Rainier Blvd N, Issaquah, WA 98027",Issaquah,WA,98027,"47.53491374040687, -122.03758305107691",2
"751 NE Blakely Dr, Issaquah, WA 98027",Issaquah,WA,98027,"47.53637184654359, -122.0229222501096",6
"2196 NW Shy Bear Way, Issaquah, WA 98027",Issaquah,WA,98027,"47.53154756728491, -122.0726618694175",2
"15520 NE Woodinville Duvall Rd, Woodinville, WA 98072",Woodinville,WA,98072,"47.76188038132831, -122.13306784809522",4
"14003 NE Woodinville Duvall Rd, Woodinville, WA 98072",Woodinville,WA,98072,"47.75437929172778, -122.15092063087553",8
"13023 NE 175th St, Woodinville, WA 98072",Woodinville,WA,98072,"47.754033061484044, -122.16688513855405",2
"19128 112th Ave NE, Bothell, WA 98011",Bothell,WA,98011,"47.76764971436703, -122.19177603762274",10
"10835 176th Cir NE, Redmond, WA 98052",Redmond,WA,98052,"47.69837548124527, -122.10886359295279",4
"18655 NE Union Hill Rd, Redmond, WA 98052",Redmond,WA,98052,"47.67618826262972, -122.09169745566406",3
"6205 188th Ln NE, Redmond, WA 98052",Redmond,WA,98052,"47.6625986180216, -122.08847060394636",2
"18005 NE 68th St, Redmond, WA 98052",Redmond,WA,98052,"47.66697926366384, -122.09863407082145",6
"17601 NE Union Hill Rd, Redmond, WA 98052",Redmond,WA,98052,"47.67532885109215, -122.1039190735965",2
"16630 Redmond Way, Redmond, WA 98052",Redmond,WA,98052,"47.67352320528536, -122.11836970492324",2
"15670 NE 85th St, Redmond, WA 98052",Redmond,WA,98052,"47.67966478481852, -122.12994510009997",2
"16015 Cleveland St, Redmond, WA 98052",Redmond,WA,98052,"47.67417792585111, -122.1267965926119",1
"5023 148th Ave NE, Bellevue, WA 98007",Bellevue,WA,98007,"47.65383027287023, -122.1449722258373",1
"1812 Main St, Lake Stevens, WA 98258",Lake Stevens,WA,98258,"48.01487895685997, -122.06548135960892",2
"8805 Soper Hill Rd, Marysville, WA 98270",Marysville,WA,98270,"48.02199797166927, -122.11191576097498",6
"9601 Market Pl, Lake Stevens, WA 98258",Lake Stevens,WA,98258,"47.99839811156225, -122.10050027967796",7
"2000 Tower St, Everett, WA 98201",Everett,WA,98201,"48.00717870619575, -122.20305072916433",6
"1717 13th St, Everett, WA 98201",Everett,WA,98201,"48.00095803127146, -122.20639951602247",7
"1028 13th St, Everett, WA 98201",Everett,WA,98201,"48.00016259403362, -122.21478698552563",4
"2320 California St #3750, Everett, WA 98201",Everett,WA,98201,"47.98062634238671, -122.19774787425149",4
"3201C Broadway, Everett, WA 98201",Everett,WA,98201,"47.97523268075431, -122.20098398472936",12
"3315 Broadway, Everett, WA 98201",Everett,WA,98201,"47.975011447659185, -122.20107649562425",6
"3402 McDougall Ave, Everett, WA 98201",Everett,WA,98201,"47.97213753317432, -122.20008584961997",1
"1925 Weaver Rd, Snohomish, WA 98290",Snohomish,WA,98290,"47.93805282911249, -122.10923335866684",6
"4730 Colby Ave, Everett, WA 98203",Everett,WA,98203,"47.95548054406727, -122.2088353340427",7
"901 Casino Rd, Everett, WA 98204",Everett,WA,98204,"47.92281614441175, -122.24646930225867",2
"1119 13th St, Snohomish, WA 98290",Snohomish,WA,98290,"47.92652654129725, -122.09603109857412",2
"19191 N Kelsey St, Monroe, WA 98272",Monroe,WA,98272,"47.86546965753261, -121.97406949607306",7
"229 SW Everett Mall Way, Everett, WA 98204",Everett,WA,98204,"47.90650674597508, -122.237961039716",2
"10200 Mukilteo Speedway, Mukilteo, WA 98275",Mukilteo,WA,98275,"47.905896125274495, -122.29454991234863",1
"51 Firing Center Rd, Yakima, WA 98901",Yakima,WA,98901,"46.67754805640187, -120.47911836121119",3
"8894 US-12, Naches, WA 98937",Naches,WA,98937,"46.716827342523445, -120.67776560963088",2
"111 1st Ave, Zillah, WA 98953",Zillah,WA,98953,"46.40517746243627, -120.27050774728804",4
"111 Fort Rd, Toppenish, WA 98948",Toppenish,WA,98948,"46.3753401162859, -120.33213418015465",2
"61 W Wapato Rd, Wapato, WA 98951",Wapato,WA,98951,"46.44879048581712, -120.43168288366716",4
"420 Windy Point Dr, Wapato, WA 98951",Wapato,WA,98951,"46.495515950550505, -120.42037534988124",1
"559 S 4th St, Sunnyside, WA 98944",Sunnyside,WA,98944,"46.32459377942575, -120.01620350122475",4
"1831 E Edison Ave, Sunnyside, WA 98944",Sunnyside,WA,98944,"46.32359265917942, -119.99358843365286",4
"115 Wine Country Rd, Grandview, WA 98930",Grandview,WA,98930,"46.25680521806144, -119.90300694069188",4
"40 Merlot Dr, Prosser, WA 99350",Prosser,WA,99350,"46.22142378780087, -119.78799382085725",3
"8196 WA-104, Kingston, WA 98346",Kingston,WA,98346,"47.811306348466076, -122.54110101159388",1
"1434 Olney Ave SE, Port Orchard, WA 98366",Port Orchard,WA,98366,"47.535438946005556, -122.61106236248226",2
"2250 Sidney Ave, Port Orchard, WA 98366",Port Orchard,WA,98366,"47.51341437905236, -122.65226109197528",2
"1900 SE Sedgwick Rd, Port Orchard, WA 98366",Port Orchard,WA,98366,"47.50471792544472, -122.62908680663544",8
"4999 Sidney Rd SW, Port Orchard, WA 98367",Port Orchard,WA,98367,"47.502282660215556, -122.65243275334814",8
"370 SW Sedgwick Rd, Port Orchard, WA 98367",Port Orchard,WA,98367,"47.49706385430616, -122.65208943060237",2
"1900 SE Mullenix Rd, Port Orchard, WA 98367",Port Orchard,WA,98367,"47.468409170051274, -122.62616856329636",4
"10384 SE Sedgwick Rd, Port Orchard, WA 98366",Port Orchard,WA,98366,"47.50471792544472, -122.51493199366524",2
"6979 Birdseye Ave NE, Lacey, WA 98516",Lacey,WA,98516,"47.07023183041814, -122.78873398850297",10
"1 Heron Rd, Port Ludlow, WA 98365",Port Ludlow,WA,98365,"47.922436935474806, -122.68282773222039",6
"888 116th Ave NE, Bellevue, WA 98004",Bellevue,WA,98004,"47.619084995586064, -122.18404917955067",8
"1231 116th Ave NE, Bellevue, WA 98004",Bellevue,WA,98004,"47.62137802608715, -122.1861578365886",4
"11100 NE 8th St, Bellevue, WA 98004",Bellevue,WA,98004,"47.61771246623983, -122.1913650778078",2
"11011 NE 9th St B, Bellevue, WA 98004",Bellevue,WA,98004,"47.61759238958231, -122.19222012819262",8
"10770 NE 8th St, Bellevue, WA 98004",Bellevue,WA,98004,"47.618000649092764, -122.19645975301734",15
"10550 NE 10th St, Bellevue, WA 98004",Bellevue,WA,98004,"47.61905730596402, -122.19973744615913",10
"600 Bellevue Square, Bellevue, WA 98004",Bellevue,WA,98004,"47.615815496421234, -122.20547165356632",10
"300 Bellevue Way NE, Bellevue, WA 98004",Bellevue,WA,98004,"47.61313105048177, -122.2004603795269",10
"325 120th Ave NE, Bellevue, WA 98005",Bellevue,WA,98005,"47.61156254637673, -122.18274194631617",2
"10410 NE 2nd St, Bellevue, WA 98004",Bellevue,WA,98004,"47.612346804309766, -122.20104204526362",6
"10333 NE 1st St, Bellevue, WA 98004",Bellevue,WA,98004,"47.61114024877209, -122.20220537673706",8
"11225 SE 6th St, Bellevue, WA 98004",Bellevue,WA,98004,"47.60423218244627, -122.18954296108392",6
"9611 SE 36th St, Mercer Island, WA 98040",Mercer Island,WA,98040,"47.57721701211586, -122.21036973180163",6
"12903 NE 20th St, Bellevue, WA 98005",Bellevue,WA,98005,"47.627922058093176, -122.167888018752",2
"13817 NE 20th St, Bellevue, WA 98005",Bellevue,WA,98005,"47.62780039587366, -122.15591332964199",3
"3079 156th Ave SE, Bellevue, WA 98007",Bellevue,WA,98007,"47.58191942124627, -122.13648694449542",4
"14762 SE Eastgate Way, Bellevue, WA 98007",Bellevue,WA,98007,"47.58056658276094, -122.14325078777657",3
"13810 SE Eastgate Way, Bellevue, WA 98005",Bellevue,WA,98005,"47.58081805265962, -122.15558055201618",11
"3901 Factoria Blvd SE, Bellevue, WA 98006",Bellevue,WA,98006,"47.575500629642995, -122.16957543414848",2
"3535 Factoria Blvd SE, Bellevue, WA 98006",Bellevue,WA,98006,"47.578657024154715, -122.17147379895746",4
"13180 SE Newport Way, Bellevue, WA 98006",Bellevue,WA,98006,"47.57150394937242, -122.16480637133564",2
"3505 Factoria Blvd SE, Bellevue, WA 98006",Bellevue,WA,98006,"47.57916158951312, -122.17027692403879",2
"Parking lot, 7707 SE 27th St, Mercer Island, WA 98040",Mercer Island,WA,98040,"47.5864947309691, -122.23458945841445",1
"16000 NE 10th St, Bellevue, WA 98008",Bellevue,WA,98008,"47.61914944031872, -122.12708811158073",2
"15350 Bel-Red Rd, Redmond, WA 98052",Redmond,WA,98052,"47.62915056576634, -122.13618441443394",2
"2041 148th Ave NE, Bellevue, WA 98007",Bellevue,WA,98007,"47.62832862762625, -122.14390864925902",6
"2301 140th Ave NE, Bellevue, WA 98005",Bellevue,WA,98005,"47.63069166493961, -122.1561048095091",1
"330 120th Ave NE, Bellevue, WA 98005",Bellevue,WA,98005,"47.61284383203029, -122.17873043952395",4
"2168 116th Ave NE, Bellevue, WA 98004",Bellevue,WA,98004,"47.630577021426916, -122.18498710045938",5
"10201 NE 4th St, Bellevue, WA 98004",Bellevue,WA,98004,"47.61304795556295, -122.20653060275677",4
"860 SE Barrington Dr, Oak Harbor, WA 98277",Oak Harbor,WA,98277,"48.292081019649984, -122.64637981625489",1
"1450 SW Erie St, Oak Harbor, WA 98277",Oak Harbor,WA,98277,"48.28591319541628, -122.66320263079788",1
"802 NW Alexander St, Coupeville, WA 98239",Coupeville,WA,98239,"48.2193904724223, -122.68963848222256",4
"818 N Sunrise Blvd, Camano, WA 98282",Camano,WA,98282,"48.23951643820097, -122.45514904685821",4
"100 Washington St, La Conner, WA 98257",La Conner,WA,98257,"48.39089289403714, -122.49737774458855",2
"24015 84th Ave W, Edmonds, WA 98026",Edmonds,WA,98026,"47.781394888740124, -122.3456737451489",2
"23204 58th Ave W, Mountlake Terrace, WA 98043",Mountlake Terrace,WA,98043,"47.78794057587355, -122.31172770866038",3
"2405 N 202nd Pl, Shoreline, WA 98133",Shoreline,WA,98133,"47.776474425007045, -122.33229706515293",2
"24329 Hwy 99, Edmonds, WA 98026",Edmonds,WA,98026,"47.77818265075112, -122.34422783464743",2
"9803 Edmonds Way, Edmonds, WA 98020",Edmonds,WA,98020,"47.79120487794447, -122.36616429841858",2
"23700 104th Ave W, Edmonds, WA 98020",Edmonds,WA,98020,"47.7842986242676, -122.37261387644438",1
"600 3rd Ave S, Edmonds, WA 98020",Edmonds,WA,98020,"47.805691486683884, -122.3826913421097",1
"Parking lot, 609 Front St, Mukilteo, WA 98275",Mukilteo,WA,98275,"47.948093403935424, -122.30684792718657",3
"1211 24th St, Anacortes, WA 98221",Anacortes,WA,98221,"48.50084988006738, -122.6158912882033",2
"Sunrise Inn Villas & Suites, 905 20th St, Anacortes, WA 98221",Anacortes,WA,98221,"48.50619245193015, -122.6116790860038",1
"909 17th St, Anacortes, WA 98221",Anacortes,WA,98221,"48.50806620567553, -122.6119799575895",1
"1014 18th St, Anacortes, WA 98221",Anacortes,WA,98221,"48.50806620567553, -122.61390553573783",2
"715 Seafarers Way, Anacortes, WA 98221",Anacortes,WA,98221,"48.51005948467067, -122.60824914992706",4
"911 11th St, Anacortes, WA 98221",Anacortes,WA,98221,"48.512889806129124, -122.61204013190661",2
"Library, M Ave. and 9th near, Anacortes, WA 98221",Anacortes,WA,98221,"48.514324838297306, -122.61727529749743",2
"419 Commercial Ave, Anacortes, WA 98221",Anacortes,WA,98221,"48.518477582554254, -122.61211443985373",2
"5TH Q Ave, Anacortes, WA 98221",Anacortes,WA,98221,"48.51817020578489, -122.61130892145205",4
"6 Q Ave, Anacortes, WA 98221",Anacortes,WA,98221,"48.51775263435568, -122.61073104955521",2
"10506 W Aero Rd, Spokane, WA 99224",Spokane,WA,99224,"47.59047434061204, -117.56211813996589",8
"10810 W Westbow Rd, Spokane, WA 99201",Spokane,WA,99201,"47.59033725047858, -117.56557371870342",2
"1354 W Bridge Ave, Spokane, WA 99201",Spokane,WA,99201,"47.66356619843147, -117.43169145156807",2
"1411 Iron Brg Wy, Spokane, WA 99202",Spokane,WA,99202,"47.66452447831724, -117.38941142936773",20
